X,Y,Z
-73.795888,5.159453,115.47
-73.773782,5.141590,28.38
-73.761798,5.154421,64.47
-73.781149,5.148374,114.59
-73.790104,5.156090,40.93
-73.770652,5.149543,119.93
-73.772972,5.143615,98.41
-73.777978,5.138582,89.20
-73.766271,5.159426,110.78
-73.793936,5.150233,111.52
-73.779716,5.169426,43.23
-73.785305,5.157930,87.41
-73.780102,5.161281,94.46
-73.795785,5.146642,8.47
-73.779311,5.162304,40.49
-73.789653,5.155605,63.14
-73.766932,5.168917,94.50
-73.789057,5.148749,45.87
-73.794660,5.143375,45.83
-73.767560,5.157566,80.21
-73.766117,5.158896,38.05
-73.781905,5.168706,38.76
-73.794087,5.171785,41.24
-73.779581,5.150420,90.36
-73.775228,5.152860,83.74
-73.773160,5.155679,72.94
-73.785774,5.144281,133.96
-73.794085,5.137784,106.46
-73.794422,5.142499,113.30
-73.769682,5.151171,161.02
-73.789296,5.145787,47.46
-73.794060,5.171597,61.64
-73.761557,5.169239,67.19
-73.774375,5.166350,115.23
-73.792660,5.148641,71.55
-73.795275,5.163848,4.25
-73.778541,5.158849,117.55
-73.779669,5.149055,80.56
-73.762135,5.153513,102.54
-73.766688,5.136423,99.91
-73.792542,5.146325,76.10
-73.792378,5.164905,60.06
-73.792991,5.145811,2.05
-73.763325,5.138927,52.72
-73.789893,5.149549,60.62
-73.769243,5.170670,67.08
-73.779087,5.150992,92.74
-73.791483,5.167625,69.87
-73.782963,5.145664,108.81
-73.774576,5.171870,23.98
-73.771282,5.168050,88.75
-73.767176,5.138638,68.65
-73.777692,5.141311,112.17
-73.771217,5.166133,65.21
-73.774586,5.154690,62.14
-73.763469,5.150572,85.39
-73.766156,5.162386,107.74
-73.769287,5.158417,68.26
-73.790218,5.152865,60.78
-73.780265,5.145633,65.59
-73.786679,5.168561,98.04
-73.796758,5.146534,125.71
-73.762738,5.155152,102.80
-73.771680,5.166384,55.01
-73.776807,5.141986,60.52
-73.778919,5.141685,44.90
-73.769388,5.166804,90.26
-73.765559,5.155773,103.76
-73.766489,5.146797,101.62
-73.784498,5.150616,72.57
-73.766096,5.162548,95.01
-73.781875,5.140971,96.46
-73.794446,5.157039,117.07
-73.782339,5.138966,72.52
-73.787995,5.139732,112.16
-73.786957,5.154652,72.41
-73.772303,5.170875,87.32
-73.774759,5.137942,122.81
-73.794773,5.141542,95.60
-73.765612,5.167255,130.17
-73.784364,5.156650,112.10
-73.792531,5.155944,46.63
-73.785043,5.156757,50.23
-73.763769,5.149901,87.49
-73.772741,5.153096,134.22
-73.764494,5.142791,69.74
-73.790830,5.138674,64.62
-73.792490,5.153774,45.78
-73.790934,5.164679,82.58
-73.797250,5.159264,47.06
-73.787827,5.142701,80.20
-73.769722,5.167256,18.65
-73.791645,5.146486,98.44
-73.770833,5.166770,69.80
-73.788307,5.152041,89.17
-73.781986,5.151778,21.00
-73.770574,5.152524,112.45
-73.787396,5.170705,85.57
-73.779611,5.168826,93.38
-73.789011,5.148341,107.34
-73.796050,5.141656,112.30
-73.775877,5.149437,95.69
-73.773201,5.163372,97.65
-73.778883,5.159910,95.32
-73.778500,5.137026,99.55
-73.779337,5.154462,64.20
-73.778897,5.150718,94.22
-73.763862,5.151506,106.35
-73.786510,5.136635,109.16
-73.777273,5.149505,36.31
-73.784850,5.164754,86.19
-73.780703,5.147050,92.27
-73.784716,5.147451,22.78
-73.762207,5.146765,119.46
-73.764360,5.154356,93.30
-73.763474,5.168101,75.70
-73.768199,5.160513,80.00
-73.790039,5.147087,68.23
-73.771104,5.157119,95.19
-73.781005,5.168135,88.35
-73.779875,5.141205,14.29
-73.771432,5.152161,63.12
-73.784672,5.160915,26.82
-73.769360,5.139494,136.91
-73.780704,5.145208,75.71
-73.796422,5.168691,90.53
-73.762509,5.150856,124.95
-73.773967,5.154262,103.63
-73.789168,5.161114,147.09
-73.790630,5.169118,55.74
-73.775162,5.163727,100.34
-73.761997,5.168100,77.71
-73.772126,5.164339,98.91
-73.769302,5.169139,71.63
-73.767030,5.151841,40.33
-73.762612,5.166448,2.60
-73.787456,5.150200,45.80
-73.779546,5.165719,70.20
-73.773671,5.169505,123.80
-73.797193,5.152266,60.06
-73.762095,5.150462,83.57
-73.788682,5.150120,71.84
-73.797180,5.163944,48.67
-73.773557,5.152187,82.19
-73.792503,5.141080,139.44
-73.761556,5.148490,51.99
-73.789667,5.164714,118.31
-73.767074,5.145162,144.09
-73.794322,5.154696,86.37
-73.762136,5.167952,54.49
-73.766212,5.139760,98.78
-73.792554,5.161735,76.24
-73.771956,5.166720,73.74
-73.790215,5.137199,74.02
-73.761298,5.140259,108.99
-73.786378,5.142455,71.83
-73.777740,5.149921,132.52
-73.793903,5.169234,37.01
-73.762445,5.157996,131.08
-73.791390,5.151887,63.38
-73.769159,5.166070,90.58
-73.770253,5.165288,25.49
-73.783522,5.155955,68.63
-73.788348,5.156660,61.28
-73.789329,5.160717,132.58
-73.792528,5.163241,92.64
-73.780948,5.138633,79.63
-73.777191,5.167041,15.08
-73.779273,5.171770,100.00
-73.779070,5.162303,106.04
-73.770568,5.162587,115.69
-73.762595,5.139151,101.14
-73.764679,5.171846,124.54
-73.794920,5.162265,51.56
-73.769431,5.141640,43.88
-73.772377,5.151319,144.55
-73.767454,5.156493,50.89
-73.779494,5.138765,90.51
-73.768705,5.143195,76.23
-73.788682,5.143166,97.39
-73.790553,5.142041,18.05
-73.762535,5.159705,64.15
-73.785907,5.145634,111.86
-73.784136,5.160338,120.34
-73.767604,5.165603,62.25
-73.769654,5.167649,69.67
-73.779204,5.169208,67.94
-73.773400,5.145752,55.22
-73.795884,5.156313,120.88
-73.786668,5.150512,77.06
-73.764296,5.160999,58.36
-73.776474,5.163519,98.29
-73.780517,5.162167,46.42
-73.786196,5.139132,64.47
-73.796103,5.154187,76.48
-73.787582,5.157104,86.82
-73.764379,5.160524,95.18
-73.786294,5.164416,92.49
-73.787094,5.165074,111.25
-73.777199,5.146104,108.86
-73.794339,5.140815,41.99
-73.770481,5.158895,113.31
-73.788191,5.137131,90.05
-73.783632,5.170271,42.99
-73.763210,5.160056,99.45
-73.776252,5.157224,109.45
-73.793181,5.169886,36.73
-73.771011,5.160158,51.09
-73.763494,5.170709,76.24
-73.777816,5.139524,79.88
-73.771151,5.166318,123.73
-73.770486,5.161368,91.07
-73.789894,5.143313,32.73
-73.766947,5.167811,49.32
-73.779080,5.155431,92.17
-73.774398,5.157167,41.69
-73.789584,5.164582,66.07
-73.796595,5.161775,88.90
-73.775429,5.143789,34.11
-73.783611,5.154253,69.35
-73.789831,5.167693,83.51
-73.770919,5.153868,58.84
-73.784174,5.156740,32.64
-73.779219,5.150578,101.38
-73.774495,5.152883,146.14
-73.762062,5.154679,77.87
-73.768193,5.170993,61.99
-73.789207,5.170201,84.27
-73.797178,5.169162,32.72
-73.787917,5.154266,72.74
-73.768537,5.154029,73.11
-73.791736,5.166790,31.63
-73.793302,5.145854,79.14
-73.775129,5.172153,76.54
-73.770821,5.136902,93.46
-73.770748,5.169902,22.82
-73.789042,5.162677,164.88
-73.781354,5.136784,104.76
-73.797099,5.169259,85.84
-73.796024,5.143210,94.03
-73.773680,5.167163,76.01
-73.771384,5.140086,92.59
-73.773705,5.139679,66.19
-73.772945,5.156756,81.38
-73.777460,5.162541,71.11
-73.787339,5.149613,65.01
-73.767914,5.138769,65.69
-73.792515,5.150636,93.17
-73.771176,5.155112,109.17
-73.794693,5.162659,47.62
-73.771772,5.158199,109.72
-73.786283,5.166116,51.76
-73.768909,5.137659,117.23
-73.792890,5.139549,159.74
-73.778389,5.152808,87.92
-73.786957,5.144343,90.13
-73.789885,5.148919,84.89
-73.769387,5.169366,66.57
-73.793239,5.165232,148.85
-73.789954,5.160727,29.01
-73.797201,5.169726,116.44
-73.762320,5.164943,92.92
-73.778382,5.138459,28.85
-73.762438,5.159455,58.93
-73.766097,5.148095,76.50
-73.789562,5.164012,92.72
-73.765367,5.165923,50.65
-73.771053,5.145247,26.10
-73.796400,5.157188,106.54
-73.770877,5.167587,95.32
-73.788727,5.163711,28.20
-73.764266,5.161369,43.42
-73.775095,5.146263,70.34
-73.787911,5.162546,49.70
-73.790828,5.137731,64.83
-73.769277,5.145487,87.51
-73.796921,5.152835,99.23
-73.782685,5.144082,81.64
-73.790578,5.146438,89.28
-73.786880,5.158840,95.22
-73.793541,5.141362,95.89
-73.792006,5.142085,58.20
-73.783434,5.148269,106.76
-73.786701,5.171705,49.96
-73.794364,5.160448,98.10
-73.786455,5.148804,103.06
-73.774421,5.166519,7.98
