X,Y,Z
-73.769340,5.158371,70.76
-73.776382,5.166702,108.17
-73.780014,5.165416,76.14
-73.761949,5.148123,124.19
-73.778321,5.152543,96.43
-73.795227,5.162734,110.65
-73.773287,5.163975,94.27
-73.771093,5.160822,84.35
-73.771642,5.170845,107.25
-73.767990,5.162038,104.15
-73.796749,5.156755,102.11
-73.793278,5.160837,95.52
-73.769710,5.159240,121.47
-73.788065,5.152451,89.57
-73.787284,5.156465,88.13
-73.776092,5.171156,90.63
-73.791292,5.156211,107.54
-73.791373,5.164238,117.82
-73.768814,5.166232,92.10
-73.766942,5.144905,104.79
-73.778605,5.166871,87.24
-73.789020,5.157400,99.86
-73.792335,5.162492,102.76
-73.781979,5.137819,107.28
-73.790751,5.136698,100.71
-73.762132,5.149739,127.75
-73.794692,5.168758,114.36
-73.776425,5.163052,71.88
-73.772521,5.154080,79.81
-73.778603,5.164344,77.74
-73.773813,5.149494,101.44
-73.793455,5.149107,101.39
-73.780430,5.143492,124.39
-73.781234,5.144573,93.45
-73.775534,5.144659,137.05
-73.774301,5.139216,114.15
-73.792150,5.152800,71.82
-73.762798,5.158165,92.62
-73.786747,5.168926,76.62
-73.767378,5.150695,104.20
-73.765874,5.169670,124.95
-73.786443,5.150221,121.98
-73.780702,5.153025,88.69
-73.763744,5.155863,78.57
-73.792233,5.150525,99.47
-73.780345,5.150403,79.72
-73.787548,5.150427,124.92
-73.787088,5.155136,120.88
-73.776127,5.137687,92.57
-73.796141,5.143914,105.19
-73.789231,5.138278,113.13
-73.772256,5.156338,90.28
-73.770092,5.137366,105.03
-73.791988,5.168413,122.82
-73.768413,5.148827,97.82
-73.783068,5.146191,113.54
-73.789872,5.136594,96.64
-73.782084,5.170517,96.24
-73.775777,5.167127,91.70
-73.795152,5.167235,112.55
-73.787745,5.150990,99.56
-73.763148,5.139999,87.02
-73.763086,5.168692,112.61
-73.771832,5.146647,102.96
-73.791768,5.139590,73.13
-73.781004,5.141748,93.60
-73.788784,5.162061,107.20
-73.781402,5.163534,94.34
-73.785337,5.162407,97.93
-73.786110,5.164919,89.74
-73.785555,5.161635,91.75
-73.768296,5.164742,58.39
-73.769383,5.138042,99.83
-73.796119,5.139876,91.09
-73.768793,5.138198,88.38
-73.787157,5.137885,98.00
-73.767968,5.146166,107.29
-73.781359,5.145263,115.88
-73.774400,5.157918,132.87
-73.794707,5.157711,99.96
-73.773071,5.162608,89.16
-73.770784,5.169120,74.93
-73.772226,5.162589,107.97
-73.784942,5.145307,101.99
-73.785050,5.154975,83.28
-73.790430,5.149124,117.09
-73.788612,5.144157,130.33
-73.768367,5.164004,90.05
-73.794024,5.156998,109.39
-73.790045,5.170724,108.07
-73.762837,5.146359,76.55
-73.762142,5.171919,116.59
-73.763620,5.164444,78.16
-73.773849,5.156494,87.33
-73.765621,5.164256,100.60
-73.780670,5.161087,104.37
-73.777700,5.142892,100.28
-73.778557,5.151817,90.53
-73.765341,5.154243,100.09
-73.764757,5.137509,60.04
-73.777679,5.166420,90.28
-73.792869,5.149411,96.74
-73.762006,5.147044,113.30
-73.793815,5.158579,99.79
-73.793526,5.142217,104.76
-73.792454,5.148037,105.45
-73.776697,5.158596,106.08
-73.770058,5.156335,96.38
-73.782079,5.137357,99.19
-73.763417,5.144910,81.11
-73.775569,5.142738,108.91
-73.796300,5.144032,78.68
-73.762700,5.150909,100.88
-73.761435,5.152904,106.10
-73.789549,5.148067,89.47
-73.781453,5.147903,104.84
-73.789893,5.159271,107.82
-73.771274,5.137550,97.29
-73.783214,5.171446,93.44
-73.784994,5.140095,113.60
-73.769354,5.168173,100.03
-73.786173,5.155032,82.80
-73.786459,5.144196,84.51
-73.764180,5.152959,108.80
-73.792190,5.149174,109.83
-73.784786,5.137737,86.28
-73.789892,5.138749,111.86
-73.796069,5.136268,120.15
-73.796146,5.161315,89.98
-73.787883,5.164331,112.31
-73.779624,5.165918,95.06
-73.781885,5.166901,94.84
-73.793702,5.170621,107.19
-73.784668,5.163106,87.50
-73.775748,5.164729,90.73
-73.787800,5.148512,101.57
-73.796564,5.167503,100.46
-73.762644,5.150805,83.79
-73.793919,5.136537,111.24
-73.765971,5.152861,116.90
-73.771508,5.158476,104.96
-73.780520,5.153948,78.05
-73.795152,5.147942,104.93
-73.772661,5.161446,75.88
-73.761271,5.163369,115.53
-73.796324,5.169783,95.34
-73.791057,5.147220,129.70
-73.777026,5.144075,96.43
-73.779882,5.161313,122.15
-73.782272,5.158627,90.72
-73.794902,5.169872,126.35
-73.761444,5.166107,88.38
-73.778758,5.151032,91.74
-73.785479,5.148161,107.88
-73.783554,5.152190,132.71
-73.764075,5.160261,85.44
-73.782975,5.150238,100.68
-73.774895,5.169154,114.27
-73.781940,5.165397,111.82
-73.794889,5.143819,112.22
-73.773078,5.157531,111.85
-73.794187,5.140028,118.29
-73.781948,5.160675,82.73
-73.776552,5.151145,107.59
-73.796192,5.171756,109.43
-73.796500,5.151519,92.48
-73.765509,5.161515,57.95
