[0;31m[ERROR] Failed to start services with Docker Compose. Check Docker logs and docker-compose.yml.[0m
nis-zookeeper  | ===> User
nis-zookeeper  | uid=1000(appuser) gid=1000(appuser) groups=1000(appuser)
nis-zookeeper  | ===> Configuring ...
nis-redis      | 8:C 23 May 2025 13:43:06.525 * oO0OoO0OoO0Oo Redis is starting oO0OoO0OoO0Oo
nis-redis      | 8:C 23 May 2025 13:43:06.525 * Redis version=7.4.2, bits=64, commit=00000000, modified=0, pid=8, just started
nis-redis      | 8:C 23 May 2025 13:43:06.525 * Configuration loaded
nis-redis      | 8:M 23 May 2025 13:43:06.529 * monotonic clock: POSIX clock_gettime
nis-redis      | 8:M 23 May 2025 13:43:06.551 * Running mode=standalone, port=6379.
nis-redis      | 8:M 23 May 2025 13:43:06.554 * Module 'RedisCompat' loaded from /opt/redis-stack/lib/rediscompat.so
nis-redis      | 8:M 23 May 2025 13:43:06.606 * <search> Redis version found by RedisSearch : 7.4.2 - oss
nis-redis      | 8:M 23 May 2025 13:43:06.607 * <search> RediSearch version 2.10.15 (Git=2.10-b8506c5)
nis-redis      | 8:M 23 May 2025 13:43:06.607 * <search> Low level api version 1 initialized successfully
nis-redis      | 8:M 23 May 2025 13:43:06.608 * <search> gc: ON, prefix min length: 2, min word length to stem: 4, prefix max expansions: 200, query timeout (ms): 500, timeout policy: return, cursor read size: 1000, cursor max idle (ms): 300000, max doctable size: 1000000, max number of search results:  10000, 
nis-redis      | 8:M 23 May 2025 13:43:06.609 * <search> Initialized thread pools!
nis-redis      | 8:M 23 May 2025 13:43:06.609 * <search> Enabled role change notification
nis-redis      | 8:M 23 May 2025 13:43:06.610 * Module 'search' loaded from /opt/redis-stack/lib/redisearch.so
nis-redis      | 8:M 23 May 2025 13:43:06.653 * <timeseries> RedisTimeSeries version 11205, git_sha=c0311e65891c3319e390370fe4d4532847c5b1e7
nis-redis      | 8:M 23 May 2025 13:43:06.653 * <timeseries> Redis version found by RedisTimeSeries : 7.4.2 - oss
nis-redis      | 8:M 23 May 2025 13:43:06.653 * <timeseries> loaded default CHUNK_SIZE_BYTES policy: 4096
nis-redis      | 8:M 23 May 2025 13:43:06.653 * <timeseries> loaded server DUPLICATE_POLICY: block
nis-redis      | 8:M 23 May 2025 13:43:06.653 * <timeseries> loaded default IGNORE_MAX_TIME_DIFF: 0
nis-redis      | 8:M 23 May 2025 13:43:06.653 * <timeseries> loaded default IGNORE_MAX_VAL_DIFF: 0.000000
nis-redis      | 8:M 23 May 2025 13:43:06.653 * <timeseries> Setting default series ENCODING to: compressed
nis-redis      | 8:M 23 May 2025 13:43:06.654 * <timeseries> Detected redis oss
nis-redis      | 8:M 23 May 2025 13:43:06.658 * Module 'timeseries' loaded from /opt/redis-stack/lib/redistimeseries.so
nis-redis      | 8:M 23 May 2025 13:43:06.684 * <ReJSON> Created new data type 'ReJSON-RL'
nis-redis      | 8:M 23 May 2025 13:43:06.687 # <ReJSON> Skip register defrag callbacks as defrag callbacks is not supported on the current Redis server.
nis-redis      | 8:M 23 May 2025 13:43:06.687 * <ReJSON> version: 20808 git sha: unknown branch: unknown
nis-redis      | 8:M 23 May 2025 13:43:06.689 * <ReJSON> Exported RedisJSON_V1 API
nis-redis      | 8:M 23 May 2025 13:43:06.689 * <ReJSON> Exported RedisJSON_V2 API
nis-redis      | 8:M 23 May 2025 13:43:06.689 * <ReJSON> Exported RedisJSON_V3 API
nis-redis      | 8:M 23 May 2025 13:43:06.689 * <ReJSON> Exported RedisJSON_V4 API
nis-redis      | 8:M 23 May 2025 13:43:06.689 * <ReJSON> Exported RedisJSON_V5 API
nis-redis      | 8:M 23 May 2025 13:43:06.689 * <ReJSON> Enabled diskless replication
nis-redis      | 8:M 23 May 2025 13:43:06.689 * <ReJSON> Initialized shared string cache, thread safe: false.
nis-redis      | 8:M 23 May 2025 13:43:06.689 * Module 'ReJSON' loaded from /opt/redis-stack/lib/rejson.so
nis-redis      | 8:M 23 May 2025 13:43:06.689 * <search> Acquired RedisJSON_V5 API
nis-redis      | 8:M 23 May 2025 13:43:06.699 * <bf> RedisBloom version 2.8.5 (Git=unknown)
nis-redis      | 8:M 23 May 2025 13:43:06.700 * Module 'bf' loaded from /opt/redis-stack/lib/redisbloom.so
nis-redis      | 8:M 23 May 2025 13:43:06.733 * <redisgears_2> Created new data type 'GearsType'
nis-redis      | 8:M 23 May 2025 13:43:06.737 * <redisgears_2> Detected redis oss
nis-redis      | 8:M 23 May 2025 13:43:06.740 # <redisgears_2> could not initialize RedisAI_InitError
nis-redis      | 
nis-redis      | 8:M 23 May 2025 13:43:06.740 * <redisgears_2> Failed loading RedisAI API.
nis-redis      | 8:M 23 May 2025 13:43:06.740 * <redisgears_2> RedisGears v2.0.20, sha='9b737886bf825fe29ddc2f8da81f73cbe0b4e858', build_type='release', built_for='Linux-ubuntu22.04.aarch64', redis_version:'7.4.2', enterprise:'false'.
nis-redis      | 8:M 23 May 2025 13:43:06.789 * <redisgears_2> Registered backend: js.
nis-redis      | 8:M 23 May 2025 13:43:06.800 * Module 'redisgears_2' loaded from /opt/redis-stack/lib/redisgears.so
nis-redis      | 8:M 23 May 2025 13:43:06.800 * Server initialized
nis-redis      | 8:M 23 May 2025 13:43:06.801 * Ready to accept connections tcp
